SourceID,DestID
1,2
2,1
1,3
3,1
1,4
4,1
1,5
5,1
1,6
6,1
1,7
7,1
1,8
8,1
1,9
9,1
1,10
10,1
1,12
12,1
1,13
13,1
1,14
14,1
1,15
15,1
1,16
16,1
1,21
21,1
1,23
23,1
1,24
24,1
1,26
26,1
1,27
27,1
1,28
28,1
1,30
30,1
1,33
33,1
1,34
34,1
1,35
35,1
1,37
37,1
1,38
38,1
1,39
39,1
1,40
40,1
1,44
44,1
1,49
49,1
1,51
51,1
1,55
55,1
1,58
58,1
1,65
65,1
1,68
68,1
1,75
75,1
1,76
76,1
1,79
79,1
1,82
82,1
1,83
83,1
1,90
90,1
1,97
97,1
1,101
101,1
1,103
103,1
1,106
106,1
1,109
109,1
1,111
111,1
1,115
115,1
1,121
121,1
1,124
124,1
1,127
127,1
1,128
128,1
1,133
133,1
1,139
139,1
1,147
147,1
1,152
152,1
1,154
154,1
1,164
164,1
1,175
175,1
1,176
176,1
1,188
188,1
1,192
192,1
1,196
196,1
1,209
209,1
1,225
225,1
1,242
242,1
1,250
250,1
1,265
265,1
1,266
266,1
1,268
268,1
1,281
281,1
1,291
291,1
1,318
318,1
1,319
319,1
1,329
329,1
1,330
330,1
1,331
331,1
1,369
369,1
1,386
386,1
1,393
393,1
1,409
409,1
1,410
410,1
1,429
429,1
1,431
431,1
1,447
447,1
1,463
463,1
1,482
482,1
2,8
8,2
2,9
9,2
2,11
11,2
2,12
12,2
2,13
13,2
2,14
14,2
2,16
16,2
2,17
17,2
2,22
22,2
2,36
36,2
2,40
40,2
2,42
42,2
2,48
48,2
2,50
50,2
2,62
62,2
2,72
72,2
2,113
113,2
2,122
122,2
2,126
126,2
2,131
131,2
2,140
140,2
2,143
143,2
2,144
144,2
2,147
147,2
2,164
164,2
2,165
165,2
2,167
167,2
2,173
173,2
2,174
174,2
2,183
183,2
2,187
187,2
2,204
204,2
2,217
217,2
2,232
232,2
2,241
241,2
2,248
248,2
2,265
265,2
2,276
276,2
2,298
298,2
2,302
302,2
2,308
308,2
2,310
310,2
2,314
314,2
2,319
319,2
2,326
326,2
2,348
348,2
2,349
349,2
2,354
354,2
2,379
379,2
2,383
383,2
2,391
391,2
2,392
392,2
2,394
394,2
2,418
418,2
2,427
427,2
2,441
441,2
2,452
452,2
2,461
461,2
2,467
467,2
2,476
476,2
2,477
477,2
2,481
481,2
3,9
9,3
3,10
10,3
3,14
14,3
3,15
15,3
3,17
17,3
3,18
18,3
3,25
25,3
3,34
34,3
3,39
39,3
3,41
41,3
3,42
42,3
3,45
45,3
3,46
46,3
3,49
49,3
3,58
58,3
3,72
72,3
3,76
76,3
3,100
100,3
3,115
115,3
3,123
123,3
3,165
165,3
3,184
184,3
3,189
189,3
3,235
235,3
3,261
261,3
3,312
312,3
3,351
351,3
3,416
416,3
3,425
425,3
3,453
453,3
3,461
461,3
3,472
472,3
3,480
480,3
4,8
8,4
4,10
10,4
4,12
12,4
4,15
15,4
4,18
18,4
4,19
19,4
4,25
25,4
4,45
45,4
4,47
47,4
4,53
53,4
4,61
61,4
4,65
65,4
4,102
102,4
4,124
124,4
4,129
129,4
4,145
145,4
4,146
146,4
4,179
179,4
4,190
190,4
4,198
198,4
4,210
210,4
4,264
264,4
4,283
283,4
4,292
292,4
4,302
302,4
4,340
340,4
4,426
426,4
4,488
488,4
5,8
8,5
5,11
11,5
5,13
13,5
5,31
31,5
5,42
42,5
5,58
58,5
5,62
62,5
5,67
67,5
5,105
105,5
5,283
283,5
5,289
289,5
5,295
295,5
5,298
298,5
5,373
373,5
5,406
406,5
5,469
469,5
6,8
8,6
6,9
9,6
6,10
10,6
6,11
11,6
6,12
12,6
6,13
13,6
6,15
15,6
6,20
20,6
6,21
21,6
6,24
24,6
6,25
25,6
6,28
28,6
6,37
37,6
6,38
38,6
6,39
39,6
6,43
43,6
6,44
44,6
6,48
48,6
6,50
50,6
6,59
59,6
6,64
64,6
6,73
73,6
6,74
74,6
6,79
79,6
6,80
80,6
6,82
82,6
6,92
92,6
6,94
94,6
6,97
97,6
6,110
110,6
6,113
113,6
6,114
114,6
6,116
116,6
6,121
121,6
6,130
130,6
6,137
137,6
6,138
138,6
6,140
140,6
6,145
145,6
6,151
151,6
6,165
165,6
6,173
173,6
6,177
177,6
6,181
181,6
6,184
184,6
6,188
188,6
6,211
211,6
6,228
228,6
6,233
233,6
6,234
234,6
6,238
238,6
6,241
241,6
6,258
258,6
6,269
269,6
6,280
280,6
6,282
282,6
6,287
287,6
6,288
288,6
6,291
291,6
6,296
296,6
6,306
306,6
6,314
314,6
6,317
317,6
6,328
328,6
6,353
353,6
6,377
377,6
6,391
391,6
6,411
411,6
6,420
420,6
6,432
432,6
6,453
453,6
6,461
461,6
6,466
466,6
6,488
488,6
7,8
8,7
7,9
9,7
7,10
10,7
7,11
11,7
7,23
23,7
7,24
24,7
7,28
28,7
7,32
32,7
7,44
44,7
7,47
47,7
7,53
53,7
7,55
55,7
7,69
69,7
7,73
73,7
7,74
74,7
7,78
78,7
7,80
80,7
7,93
93,7
7,96
96,7
7,99
99,7
7,102
102,7
7,106
106,7
7,124
124,7
7,134
134,7
7,136
136,7
7,141
141,7
7,149
149,7
7,151
151,7
7,157
157,7
7,162
162,7
7,177
177,7
7,181
181,7
7,223
223,7
7,245
245,7
7,269
269,7
7,271
271,7
7,336
336,7
7,376
376,7
7,400
400,7
7,414
414,7
7,436
436,7
7,467
467,7
7,473
473,7
8,9
9,8
8,11
11,8
8,12
12,8
8,15
15,8
8,16
16,8
8,17
17,8
8,18
18,8
8,23
23,8
8,26
26,8
8,29
29,8
8,31
31,8
8,32
32,8
8,33
33,8
8,35
35,8
8,37
37,8
8,38
38,8
8,46
46,8
8,52
52,8
8,55
55,8
8,56
56,8
8,57
57,8
8,58
58,8
8,61
61,8
8,63
63,8
8,64
64,8
8,70
70,8
8,74
74,8
8,81
81,8
8,83
83,8
8,84
84,8
8,93
93,8
8,94
94,8
8,99
99,8
8,109
109,8
8,118
118,8
8,124
124,8
8,130
130,8
8,153
153,8
8,157
157,8
8,160
160,8
8,165
165,8
8,195
195,8
8,198
198,8
8,200
200,8
8,203
203,8
8,207
207,8
8,217
217,8
8,218
218,8
8,220
220,8
8,226
226,8
8,228
228,8
8,231
231,8
8,233
233,8
8,243
243,8
8,250
250,8
8,275
275,8
8,289
289,8
8,313
313,8
8,319
319,8
8,343
343,8
8,346
346,8
8,351
351,8
8,352
352,8
8,360
360,8
8,362
362,8
8,364
364,8
8,408
408,8
8,441
441,8
8,445
445,8
8,458
458,8
8,460
460,8
8,468
468,8
8,469
469,8
8,492
492,8
9,10
10,9
9,16
16,9
9,17
17,9
9,18
18,9
9,21
21,9
9,23
23,9
9,25
25,9
9,28
28,9
9,32
32,9
9,33
33,9
9,34
34,9
9,36
36,9
9,38
38,9
9,44
44,9
9,50
50,9
9,59
59,9
9,60
60,9
9,61
61,9
9,70
70,9
9,79
79,9
9,87
87,9
9,96
96,9
9,97
97,9
9,115
115,9
9,118
118,9
9,132
132,9
9,142
142,9
9,150
150,9
9,151
151,9
9,157
157,9
9,168
168,9
9,176
176,9
9,182
182,9
9,199
199,9
9,202
202,9
9,239
239,9
9,252
252,9
9,258
258,9
9,259
259,9
9,271
271,9
9,279
279,9
9,280
280,9
9,285
285,9
9,294
294,9
9,322
322,9
9,341
341,9
9,351
351,9
9,374
374,9
9,376
376,9
9,384
384,9
9,413
413,9
9,449
449,9
9,453
453,9
9,481
481,9
10,11
11,10
10,14
14,10
10,17
17,10
10,18
18,10
10,27
27,10
10,32
32,10
10,41
41,10
10,45
45,10
10,49
49,10
10,52
52,10
10,65
65,10
10,69
69,10
10,70
70,10
10,77
77,10
10,81
81,10
10,122
122,10
10,124
124,10
10,166
166,10
10,205
205,10
10,221
221,10
10,275
275,10
10,277
277,10
10,280
280,10
10,317
317,10
10,368
368,10
10,376
376,10
10,390
390,10
10,394
394,10
10,407
407,10
10,412
412,10
10,494
494,10
11,12
12,11
11,13
13,11
11,16
16,11
11,19
19,11
11,20
20,11
11,23
23,11
11,27
27,11
11,29
29,11
11,31
31,11
11,32
32,11
11,33
33,11
11,37
37,11
11,41
41,11
11,45
45,11
11,50
50,11
11,51
51,11
11,53
53,11
11,54
54,11
11,66
66,11
11,69
69,11
11,71
71,11
11,87
87,11
11,88
88,11
11,94
94,11
11,108
108,11
11,110
110,11
11,119
119,11
11,127
127,11
11,129
129,11
11,148
148,11
11,155
155,11
11,157
157,11
11,159
159,11
11,160
160,11
11,170
170,11
11,180
180,11
11,189
189,11
11,192
192,11
11,210
210,11
11,215
215,11
11,225
225,11
11,243
243,11
11,260
260,11
11,262
262,11
11,277
277,11
11,293
293,11
11,319
319,11
11,323
323,11
11,329
329,11
