year,month,day,capacity,base_demand,base_price_economy,base_price_business,no_show_prob
1949,Jan,1,250,128,269.5,1046.91,0.1482
1949,Jan,2,150,87,151.17,591.57,0.0549
1949,Jan,3,250,119,224.75,814.27,0.0594
1949,Jan,4,150,137,234.74,722.85,0.2955
1949,Jan,5,200,114,255.36,783.64,0.0998
1949,Jan,6,150,119,160.76,582.88,0.1073
1949,Jan,7,150,123,276.59,818.5,0.0315
1949,Jan,8,250,99,189.44,660.6,0.0495
1949,Jan,9,300,129,170.7,631.96,0.1296
1949,Jan,10,250,91,105.38,281.93,0.1035
1949,Jan,11,300,107,229.64,698.88,0.0614
1949,Jan,12,250,67,241.39,820.33,0.1274
1949,Jan,13,150,87,238.12,728.88,0.0162
1949,Jan,14,250,127,281.45,1071.54,0.1603
1949,Jan,15,250,94,245.54,742.51,0.1344
1949,Jan,16,250,129,152.31,454.76,0.1532
1949,Jan,17,250,73,164.01,580.96,0.0746
1949,Jan,18,150,100,200.41,586.51,0.1669
1949,Jan,19,200,83,245.08,977.85,0.2018
1949,Jan,20,200,86,157.99,427.55,0.2509
1949,Jan,21,150,100,262.83,996.72,0.3136
1949,Jan,22,200,110,185.63,566.42,0.0444
1949,Jan,23,250,164,210.74,829.52,0.0902
1949,Jan,24,150,133,203.78,544.55,0.063
1949,Jan,25,150,106,158.39,565.73,0.0586
1949,Jan,26,300,116,226.48,639.3,0.0431
1949,Jan,27,250,110,206.03,589.54,0.0263
1949,Jan,28,200,109,277.31,1063.89,0.0702
1949,Jan,29,200,93,287.46,1054.76,0.0202
1949,Jan,30,300,103,212.38,715.14,0.0727
1949,Feb,1,150,155,296.86,867.55,0.0311
1949,Feb,2,200,120,110.54,335.27,0.0511
1949,Feb,3,150,132,235.66,793.92,0.0473
1949,Feb,4,200,118,280.87,779.81,0.1651
1949,Feb,5,150,132,298.14,942.41,0.1762
1949,Feb,6,150,99,199.82,544.8,0.1414
1949,Feb,7,200,171,172.45,607.78,0.0818
1949,Feb,8,300,113,227.07,809.34,0.1205
1949,Feb,9,250,144,237.85,848.12,0.0742
1949,Feb,10,300,108,117.45,299.81,0.0448
1949,Feb,11,200,128,121.52,370.96,0.0824
1949,Feb,12,200,136,299.32,1195.83,0.0931
1949,Feb,13,200,99,253.31,897.57,0.1619
1949,Feb,14,300,141,223.23,571.48,0.0659
1949,Feb,15,300,150,132.29,447.09,0.1851
1949,Feb,16,150,139,227.46,701.11,0.0719
1949,Feb,17,250,162,147.57,572.24,0.0968
1949,Feb,18,200,120,195.17,492.51,0.0659
1949,Feb,19,150,109,161.29,537.56,0.0912
1949,Feb,20,150,106,155.26,453.07,0.0311
1949,Feb,21,300,139,253.48,884.93,0.0822
1949,Feb,22,200,94,260.52,1003.24,0.0754
